Seed,Score,Perkeo,Canio,Triboulet,Yorick,Chicot,Blueprint,Brainstorm,NegSkipTags
BR2ETKI7,3,1,1,0,0,1,0,0,4
BRODW6DK,3,1,0,0,0,1,0,1,4
BROKK7YD,3,1,0,1,0,0,1,0,4
BRNOF3DX,3,1,1,0,1,0,0,0,4
BTOLEZC5,3,1,0,0,0,0,1,1,4
BRWZIN96,3,1,0,1,0,0,1,0,5
BPF1A11P,3,1,1,0,0,0,1,0,4
BTQY4MAS,3,1,1,0,0,0,0,1,4
BTUIJ7G6,3,1,0,1,0,0,0,1,4
BS8FEDYD,3,2,0,1,0,0,2,0,4
BQRLF41X,3,1,1,0,0,0,1,0,4
BTREV8OI,3,1,0,0,0,0,1,1,4
BRNYODNU,3,1,0,0,0,0,1,1,4
BSM1HE1M,3,1,0,0,0,0,1,1,4
BOOYPNJU,3,1,1,0,0,0,0,1,4
BP7IRQT5,3,1,0,0,0,0,1,1,5
BPIWFC8S,3,1,0,0,0,0,1,1,4
BRE8MJZL,3,1,0,0,0,0,1,1,4
BR9H9OH1,3,1,0,0,0,0,1,1,4
BQV1FTYS,3,1,0,0,0,0,1,1,4
BRDMI7HB,3,1,0,0,0,0,1,1,4
BU15T761,3,1,0,0,0,0,1,1,4
BRV1G9TA,4,1,0,1,0,0,1,1,4
BS7AVFSM,3,1,0,0,0,0,1,1,4
BRVQTI79,3,1,0,0,0,0,1,1,4
BU5O8XX8,3,1,0,0,0,0,1,1,4
BU3RBT8K,4,2,1,1,0,0,0,1,4
BU4HBC7U,3,1,1,0,0,0,0,1,4
BQZB5PSZ,3,1,0,0,0,0,1,1,4
BRZ38RKG,3,1,0,0,0,0,1,1,4
BREM72QP,3,1,0,0,0,0,1,1,4
BU61UO5S,3,1,0,0,0,0,1,1,4
BS3IDZN9,3,1,1,0,0,0,0,1,4
BRJOZB4A,3,1,0,1,0,0,1,0,4
BPFCAHRL,3,1,0,0,0,0,1,1,4
BRMYZSXP,3,1,1,0,0,0,0,1,4
BT5H16F6,4,1,0,0,0,1,1,1,4
BS9AGF4M,4,1,0,1,0,1,0,1,4
BSC5TCW8,3,1,1,0,0,0,0,1,4
BSH5OY33,3,2,0,0,0,0,1,2,4
BS4APQ91,3,1,0,0,0,0,1,1,4
BSZ6D1FB,4,1,0,0,1,1,0,1,4
BUI9XLIJ,3,1,1,0,0,0,1,0,4
BPZUUQUP,3,1,1,0,0,0,0,1,4
BT9Q2FR5,3,1,0,0,0,0,1,1,4
BUFPW3QT,3,1,1,0,0,0,1,0,4
BUD47CRT,3,1,0,1,0,0,1,0,4
BT9NP5EQ,3,1,0,0,0,0,1,1,5
BS9MTYQ3,4,1,0,1,0,0,1,1,4
BSCKII1R,3,1,0,0,1,0,1,0,4
BRK3OK3B,3,1,0,0,0,0,1,1,4
BSMPSMD4,3,1,0,0,0,1,0,1,4
BUFTW6SE,3,1,0,0,0,0,1,1,4
BRBTSERP,3,1,0,0,0,0,1,1,4
BSBJOVTY,3,1,0,0,0,0,1,1,4
BRCBFRTH,3,1,0,0,1,0,1,0,4
BUGTAZEZ,3,1,0,0,0,0,1,1,5
BSCFUYWW,3,1,0,0,0,0,2,1,4
BPJOVUXC,3,1,0,0,0,0,1,1,4
BQBN695E,3,1,0,0,0,0,1,1,4
BSQAD7IR,3,1,0,0,0,0,1,1,4
BUMVXIS3,3,1,0,0,1,0,0,1,4
BREHXKZ5,3,1,0,0,0,1,0,1,4
BRV4FS4P,3,1,0,0,1,0,0,1,4
BSF6918W,3,1,0,0,0,0,1,1,4
BSM2EVUJ,3,1,0,0,0,0,1,1,4
BSCM182L,3,1,0,0,0,0,1,1,4
BURMIXPI,3,1,0,0,1,0,1,0,4
BPDU1LOL,3,1,0,0,0,0,1,1,4
BSLZ684G,3,1,0,0,0,0,1,1,4
BRSQPG59,3,1,0,0,0,0,1,1,4
BQET7GFG,3,1,0,0,0,0,1,1,4
BURG524B,3,1,0,0,1,0,1,0,4
BTERWAP9,3,1,0,0,0,1,1,0,4
BRZL7M6U,3,1,0,0,0,0,1,1,4
BUSP8WYK,3,1,0,0,0,0,1,1,4
BSQ38QZG,3,1,1,0,0,0,0,1,4
BTNZ96UO,3,1,0,0,1,0,0,1,4
BTEZR679,3,1,0,0,0,0,1,1,4
BRX7Q3P1,3,1,0,0,0,0,1,1,5
BV5NBFRL,3,1,0,0,0,1,1,0,4
BSK8BSD1,3,1,0,0,0,1,1,0,4
BQ26A92G,3,1,0,0,0,1,0,1,4
BSL9M757,3,1,0,1,1,0,0,0,5
BTUMGXFF,3,1,0,0,1,1,0,0,4
BTNNHJ87,3,1,0,0,1,0,0,1,4
BV2I8ZX6,3,1,0,0,0,0,1,1,4
BSSVFNQ8,3,1,0,0,1,0,0,1,4
BTXLBGKS,3,1,0,0,0,0,1,1,4
BSA291II,3,1,0,0,0,0,1,1,4
BS98MYD3,3,1,0,1,0,0,1,0,4
BSXSC3FY,3,1,0,0,1,0,1,0,5
BTZ9D8DW,3,1,0,0,0,0,1,1,4
BV9OPND7,3,1,0,0,0,0,1,1,4
BV9XRW26,3,1,0,0,0,1,0,1,4
BTNG1EQZ,3,1,0,0,0,1,1,0,4
BV8GL74E,3,1,0,0,0,0,1,1,4
BTOPZETI,3,1,0,0,0,0,1,1,4
BT3BNATU,3,1,0,0,0,0,1,1,4
BQPWBAF2,3,1,0,0,1,0,0,1,4
BTU3U6J8,3,1,0,0,0,0,1,1,4
BTFD3FKY,3,1,0,0,0,0,1,1,4
BVAUE6HK,3,1,0,0,0,0,1,1,4
BTTF8VB3,3,1,0,0,0,0,1,1,4
BSYY3AYM,3,1,0,0,0,0,1,1,4
BT12UB3R,3,1,0,0,1,0,1,0,4
BTSV8XO8,3,1,0,0,1,1,0,0,4
BT1AEORZ,3,1,0,0,0,0,1,1,4
BS9TX1DV,3,1,0,0,1,1,0,0,4
BRY19Q8K,3,1,0,0,0,0,1,1,4
BSIRUUQ3,3,1,0,0,0,0,1,1,5
BT3MYAUQ,3,1,0,0,0,0,1,1,4
BT4OP3EK,3,1,0,0,0,0,1,1,4
BSY6IQ4E,3,1,0,0,0,0,1,1,4
BSKBPBL4,3,1,0,0,1,0,1,0,4
BUC4GY93,3,1,0,0,0,0,1,1,4
BSL6I48S,3,1,0,0,0,0,1,1,4
BVLMOIOQ,3,1,0,0,0,0,1,1,4
BQK6BA6K,3,1,0,0,0,0,1,1,4
BTKBVY9O,3,1,0,0,1,0,0,1,4
BPZHEXZS,3,1,0,0,0,0,1,1,4
BSLFX8IT,3,1,0,0,0,0,1,1,4
BS19ZHV2,4,1,0,0,1,1,0,1,5
BPQUF8HL,3,1,0,0,0,0,1,1,4
BSDVKE25,3,1,1,0,0,0,0,1,4
BTAB9NFP,3,1,0,0,0,0,1,1,4
BSR8TMRA,3,1,0,0,0,0,1,1,4
BQ4RUB1K,3,1,0,0,0,0,1,1,4
BSM6ZGZG,3,1,0,1,0,0,1,0,4
BTBWPR2K,3,1,0,0,0,0,1,1,4
BT5KYGLY,3,1,0,1,1,0,0,0,4
BTKUVRW8,3,1,1,0,0,0,0,1,4
BVWIT1XE,3,1,0,0,0,1,1,0,4
BRY2CLRW,3,1,0,1,0,0,0,1,4
BSGXKOUM,3,1,0,0,0,0,1,3,4
BT4TT8M5,3,1,1,0,0,0,0,1,4
BVOJDH6K,3,1,0,0,0,0,1,1,5
BVOSTOOH,3,1,0,0,0,0,1,1,4
BVOWTQIH,3,1,0,0,0,0,1,1,5
BVQFWYJD,3,1,0,0,0,0,1,1,4
BVT753I2,3,1,0,0,0,0,1,1,4
BT7AC4SZ,3,1,0,0,0,0,1,1,4
BRYOOVUK,3,1,0,0,0,0,1,1,5
BVRJ84BW,3,1,0,0,0,1,1,0,4
BSH3FQ5X,3,1,0,0,0,1,1,0,4
BVUDDY54,3,1,0,0,0,1,0,1,4
BU5WSZF1,4,1,0,1,0,1,1,0,5
BTBNHDJE,3,1,1,0,0,0,1,0,4
BVTBR2XT,3,1,0,0,1,0,0,1,4
BTVGHYXX,3,1,0,0,0,0,1,1,5
BSPVIDKA,3,1,0,1,0,0,1,0,4
BR1TZGSO,3,1,0,0,1,0,0,1,4
BTIWV2AE,3,1,0,0,0,0,1,1,6
BVZGGNG1,3,1,0,0,0,1,1,0,4
BSMD6NFX,3,1,0,0,0,0,1,1,5
BW2OUVP1,3,1,0,0,0,0,1,1,4
BW23CXQH,3,1,0,0,1,0,0,1,4
BTKABVYN,3,1,0,0,0,0,1,1,4
BUR9IXNV,3,1,0,0,1,0,1,0,4
BSCKEE1L,3,1,0,0,0,0,1,1,4
BW792KH8,3,1,0,0,0,1,1,0,4
BS8HOIKW,3,1,0,1,0,0,1,0,5
BW9OUHTS,3,1,0,0,1,0,1,0,4
BU1TK7KZ,3,1,0,0,0,0,1,1,4
BT6W899S,3,1,0,0,0,0,1,1,4
BTNF3Q5A,3,1,1,1,0,0,0,0,4
BSXZY7V5,3,1,0,0,0,0,1,1,4
BQ5YJ6II,3,2,0,1,0,0,0,1,4
BWCAFRM6,3,1,0,1,0,0,1,0,4
BQD1HURI,3,1,0,0,0,0,1,1,4
BW99QEE3,3,1,0,0,0,0,1,1,4
BTH3GG3S,3,1,0,0,0,1,1,0,4
BSC6YNCL,3,1,0,0,0,0,1,1,4
BT3FE1VI,3,1,0,0,0,0,1,1,4
BR7RRXJP,3,1,0,0,0,1,0,1,4
BWA1ELTA,3,1,0,0,0,0,1,1,4
BQN2JJ8Z,3,1,0,0,1,0,0,1,4
BTXKOHHV,4,1,0,0,1,0,1,1,4
BT4BD5VT,4,1,1,1,0,0,1,0,4
BTXQ4QMS,3,1,0,0,0,0,1,1,4
BUZ8XUSA,3,1,0,0,0,0,1,1,4
BUMTGNDN,3,1,0,0,0,0,1,1,4
BSUTPOE8,3,1,0,0,0,0,1,1,6
BWCJROWZ,3,1,0,0,0,0,1,1,4
BT1HZXVQ,3,1,0,0,0,0,1,1,4
BTRRMMDC,3,1,0,0,0,0,1,1,5
BTWFA56Z,3,1,0,0,0,1,0,1,4
BQOJTUOT,3,1,0,0,0,0,1,1,4
BTZCFSBF,3,1,0,0,0,0,1,1,4
BU2MBT2F,3,1,0,0,1,0,1,0,4
BV4ALITE,3,1,0,0,0,0,1,1,4
BR5375JB,3,1,0,0,0,0,1,1,5
BU2OSNGH,3,1,0,0,0,0,1,1,4
BUPM1ENZ,3,1,0,0,0,0,1,1,4
BUQE4Y9V,3,1,0,0,0,0,1,1,5
BTUNNBOV,3,1,0,0,0,0,1,1,5
BTOZDP4Z,3,1,0,0,0,0,1,1,5
BSMBMP3O,3,1,0,0,0,0,1,1,4
BT494TOZ,3,1,0,1,0,0,0,1,5
BTXPZQ47,3,1,0,0,0,0,1,1,4
BTAG8LHN,3,1,0,0,0,0,1,1,4
BT87YRDG,3,1,1,0,0,0,1,0,4
BUVHMDJH,4,1,0,0,0,1,1,1,4
BT5J327P,3,1,0,0,1,0,0,1,5
BUG8H1IO,3,1,0,1,0,0,1,0,4
BUKHEUJA,3,1,0,0,0,0,1,1,4
BV2MM146,3,1,1,0,0,0,1,0,4
BT9B31NM,3,1,0,0,0,0,1,1,4
BT622SP9,3,3,0,0,0,0,1,1,4
BX12QM2V,3,1,0,0,0,0,1,1,4
BWUF7D9I,3,1,0,0,0,0,1,1,4
BQJH2H8X,3,1,0,0,0,0,1,1,4
BV388AAS,3,1,0,0,0,0,1,1,4
BWUYA2VR,3,1,0,0,0,0,1,1,5
BWWGC63T,3,1,1,0,0,0,0,1,4
BVEWUTAJ,3,1,0,0,0,1,0,1,6
BTYT5YDQ,3,1,0,0,0,0,1,1,4
BSRXLOLS,3,1,1,0,0,0,0,1,4
BQK2EXYX,3,1,0,0,0,1,1,0,4
BT6HQB8M,3,1,0,0,0,0,1,1,4
BV4VJ8KU,3,1,0,0,0,1,0,1,4
BQWSPK1U,3,1,0,0,0,0,1,1,4
BVJOC87Y,3,1,0,0,0,0,1,1,4
BTG7ZD63,3,1,0,0,0,1,1,0,4
BUMN62PF,3,1,0,0,0,0,1,1,4
BU1ZG4ER,3,1,0,0,0,0,1,1,4
BQNAEE25,3,1,0,0,0,0,1,1,4
BX25XXW3,3,1,0,0,0,1,0,1,4
BQOSWS5W,3,1,0,0,0,0,1,1,5
BTH5XMYS,3,1,0,0,0,0,1,1,4
BTLY2KMN,3,1,0,0,0,0,1,1,4
BX1KTRQ3,3,1,0,0,1,0,0,1,5
BX5XBVUI,3,1,0,1,0,0,1,0,4
BX34FEBI,3,1,0,0,1,1,0,0,5
BVA4V8ED,3,1,0,0,0,0,1,1,4
BST3HCHP,3,1,0,0,0,0,1,1,4
BURL8GNA,3,1,1,0,0,0,1,0,4
BX68X8Y3,3,1,0,0,0,0,2,1,4
BUDVZYX8,3,1,0,0,0,0,1,1,4
BRE3NPNP,3,1,0,0,0,0,1,1,4
BUA5DB35,3,1,0,0,0,0,1,1,4
BUG838F6,3,1,0,0,1,0,1,0,4
BXKTWY7X,3,1,0,0,0,0,1,1,4
BXBYAXGH,3,1,0,1,0,0,1,0,4
BXBPOZMS,3,1,1,0,1,0,0,0,4
BQVDL3LB,3,1,0,0,0,0,1,1,4
BUXRKAD9,3,1,0,0,0,0,1,1,4
BUIDG3WI,3,1,0,1,0,0,1,0,4
BXGJT4WB,3,1,0,0,0,0,1,1,4
BUYTIFCA,3,1,0,0,0,1,0,1,4
BUR3VFT5,3,1,1,0,0,0,1,0,4
BUJOVU4V,3,1,0,0,0,0,1,1,4
BUHTML4S,3,1,0,0,0,1,1,0,4
BXSUZMAW,3,1,1,0,0,0,1,0,5
BU3E7W8H,4,1,1,0,0,0,1,1,4
BTNX7NF2,3,1,0,0,0,0,1,1,4
BUW7C38U,3,1,0,1,0,0,0,1,4
BTYW8MDB,3,1,1,0,0,0,1,0,4
BUGB2CHO,3,1,0,1,0,0,0,1,5
BTMKMWDK,3,1,0,0,0,0,1,1,4
BUR4GLYS,3,1,0,0,1,0,0,1,4
BW3N932B,3,1,0,0,0,0,1,1,4
BXKYEZ9P,3,1,0,0,0,0,1,1,4
BXKATCLM,3,1,0,0,0,1,0,1,4
BVTU56DI,3,1,0,0,0,0,1,1,4
BV6MDH7Y,3,1,0,0,1,1,0,0,4
BUJZYJOD,3,1,1,0,0,0,0,1,4
BXXL1O6J,4,1,0,0,0,1,1,1,4
BXRXSS9A,3,1,0,0,0,1,0,1,4
BUQBZQ67,3,1,1,0,0,0,0,1,4
BXNA1PGF,3,1,0,0,1,0,0,1,4
BVWA8JTQ,3,1,0,0,0,0,1,1,4
BU3VQ9G7,3,1,0,0,0,0,1,1,4
BQV26QYK,3,1,0,0,0,0,1,1,4
BV18UDPI,3,1,0,0,0,0,1,1,4
BR12YE8J,3,1,0,1,0,0,0,1,4
BTT9Q961,3,1,0,0,0,0,1,1,4
BTADQB2P,3,1,0,1,0,0,1,0,4
BQT1RCUN,3,1,0,0,0,0,1,1,4
BVXJNH93,3,1,0,0,0,0,1,1,4
BV7LQH3L,3,1,0,0,0,0,1,1,4
BW3BYBR7,3,1,1,1,0,0,0,0,4
BQNWWT5D,3,1,0,0,0,0,1,1,4
BVXT9DDL,3,1,0,0,0,0,1,1,4
BVF398XW,3,1,0,0,1,0,1,0,4
BTXTHMNS,3,1,0,0,0,1,0,1,4
BTEI14AQ,3,1,1,0,0,0,0,1,4
BW5A7USA,3,1,0,0,0,0,1,1,4
BY1GPOMP,3,1,0,0,0,0,1,1,4
BU6OOQGQ,3,1,0,0,1,0,1,0,4
BW65IKVM,3,1,0,0,0,0,1,1,4
BYCNU2Q2,3,1,0,0,0,1,0,1,4
BY5RAWXP,3,1,0,1,0,0,0,1,4
BVI6CDET,3,1,0,0,0,1,0,1,4
BV2AZUVY,3,1,0,1,0,0,0,1,4
BVO55VPU,3,1,0,0,0,0,1,1,4
BY2L8YFA,3,1,0,0,0,1,1,0,4
BY5EF9E4,3,1,0,1,0,1,0,0,4
BV3BGU3Q,3,1,0,0,0,0,1,1,4
BUVOP1R8,3,1,0,0,0,0,1,1,4
BTKJ4ZDM,3,1,0,0,1,0,0,1,4
BV5MQD2M,3,1,0,0,1,0,0,1,4
BYJDWVM4,3,1,0,0,0,0,1,1,4
BYJFLG9I,3,1,0,0,0,1,0,1,4
BW7JHHZL,3,1,0,0,0,0,1,1,4
BYCEMNVC,4,1,0,0,1,0,1,1,4
BVA6NVXQ,3,1,0,0,1,0,1,0,4
BRGLWLD3,3,1,1,0,0,0,1,0,4
BS1WQ9DM,4,1,0,1,0,0,1,1,4
BUHENRNW,3,1,0,0,0,0,1,1,4
BYC8TVC4,3,1,1,0,0,0,1,0,4
BV7WWWVJ,3,1,0,0,0,0,1,1,4
BYANTQCG,3,1,0,0,1,0,0,1,4
BWHNGZOO,3,1,0,1,0,0,1,0,4
BUZL7919,3,1,0,0,0,0,1,1,4
BS9N1GQG,3,1,0,1,0,0,1,0,4
BU8LQKV8,3,1,0,0,0,1,1,0,4
BV2S3X43,3,1,0,0,1,0,0,1,4
BRWR4WDD,4,1,0,1,0,0,1,1,4
BUHZUMX1,3,1,0,0,1,0,1,0,4
BRWXAPR3,3,1,0,0,0,0,1,1,4
BYIXZ8VX,3,1,1,0,0,0,0,1,4
BYIZ9ABI,3,1,0,0,0,0,1,1,4
BQX1Q57Y,3,1,0,0,0,0,1,1,4
BWOJ6ZVL,3,1,1,0,0,0,1,0,4
BYKAYKFR,3,1,0,0,0,1,0,1,4
BVG12G3N,3,1,0,1,0,0,1,0,4
BS176XUS,3,1,0,0,0,1,0,1,4
BYMUFG84,3,1,0,0,0,1,0,1,4
BRAU779P,3,1,0,1,0,0,0,1,4
BVZL2CB7,3,1,0,0,0,0,1,1,4
BUH22OFR,4,1,0,0,0,1,1,1,4
BYZN1WJE,3,1,0,0,1,0,0,1,4
BW1J9ORH,3,1,0,0,0,0,1,1,4
BVNEUGVF,3,1,0,0,0,0,1,1,4
BWQ2OG4Y,3,1,0,0,0,0,1,1,4
BVDR8TZJ,3,1,0,0,0,0,1,1,4
BYPCQVSS,3,2,0,1,1,0,0,0,5
BWPCIVSV,3,1,0,0,0,0,1,1,5
BU3HTXX3,3,1,0,0,0,0,1,1,4
BWPN9FJ4,3,1,0,1,1,0,0,0,4
BYYCF3AS,3,1,0,0,0,0,1,1,5
BW45C7AU,3,1,0,0,0,0,1,1,4
BR1YGGXF,3,1,1,0,0,0,1,0,4
BUSMYK81,3,1,0,0,0,0,1,1,4
BVPXQN69,3,1,0,0,0,0,1,1,4
BVNTTJ91,3,1,0,0,0,0,1,1,4
BVQ2J2HA,3,1,0,0,0,0,1,1,4
BUTFKBFF,3,1,0,0,0,0,1,1,4
BUUIU3LB,3,1,0,1,0,0,1,0,4
BYYNVRI3,3,1,1,0,0,0,0,1,4
BVEWMXEY,3,1,0,0,0,0,1,1,6
BZ3R4MNR,3,1,0,0,0,0,2,1,4
BV18E1LX,3,1,0,0,0,0,1,1,4
BUSLCSPD,3,1,0,0,0,0,1,1,4
BYZTGAW4,3,1,0,1,0,0,1,0,4
BZ26S5HZ,3,1,0,0,0,0,1,1,4
BXDS8PC7,3,1,0,0,0,0,1,1,4
BWB6LLV7,3,1,0,1,0,0,0,1,4
BWBL3UXX,3,1,0,0,0,0,2,1,4
BVR9X1EK,3,1,0,0,0,0,1,1,4
BWCLOJ4A,3,1,0,0,0,1,1,0,4
BX4OJWNF,3,1,0,1,0,0,1,0,4
BUW4DI3D,3,2,0,0,0,0,1,1,4
BZ7A6WFF,3,1,0,0,0,0,1,1,4
BUUAKX56,3,1,0,0,0,1,1,0,4
BVZJSP17,3,1,0,0,0,0,1,1,4
BVZYFGUC,3,1,0,1,0,0,1,0,4
BVZO6D84,3,1,0,0,0,0,1,1,4
BZ8IKWDG,3,1,0,0,0,1,1,0,4
BZ78CR7C,3,1,0,0,0,0,1,1,4
BSI2BLI4,3,1,0,0,0,0,1,1,5
BW7IO9EV,3,1,0,0,0,0,1,1,4
BVWN2NL6,3,2,0,0,0,0,1,2,4
BSD6KEAM,3,1,1,0,0,0,0,1,4
BX9UTP5U,3,1,0,0,0,0,1,1,4
BWHGVSWR,3,1,0,0,0,0,1,1,4
BWJ3EMZD,3,1,0,0,0,0,1,1,4
BW2Q7DZF,3,1,0,0,1,0,0,1,4
BV7NO6H7,3,1,1,0,1,0,0,0,4
BW2SWPE1,3,1,0,0,0,0,1,1,4
BW52BB94,3,1,0,0,0,0,1,1,4
BWMIQX24,3,1,0,1,0,0,1,0,4
BUIPDCX6,3,1,0,0,1,0,0,1,4
BUZBIBSO,3,1,0,0,0,0,1,1,4
BWO928XP,3,1,0,0,0,0,1,1,5
BZN6ST7L,3,1,0,0,0,0,1,1,4
BUIMCBHG,3,1,0,0,0,0,1,1,4
BWE8UH84,3,1,1,0,0,0,0,1,4
BV9ZS1V4,3,1,0,0,1,0,0,1,4
BWPNO5BX,3,1,0,0,0,0,1,1,4
BXLZOVAT,3,1,0,0,0,0,1,1,4
BRU7AIZB,3,1,0,0,0,0,1,1,4
BZVNRK54,3,1,0,0,0,0,1,1,4
BSYKUS9K,3,1,0,0,1,0,1,0,4
BXZHAPT3,3,1,0,0,0,0,1,1,4
BV5OUDT6,3,1,1,0,0,0,1,0,4
BVELXPP4,3,1,0,0,0,0,1,1,4
BW78TUZQ,3,1,0,0,0,0,1,1,4
BRFHEK8Z,3,1,0,0,0,0,1,1,5
BWGF6U5U,3,1,0,0,0,0,1,1,5
BWZ8J4MX,3,1,0,1,0,1,0,0,4
BZYELCVG,3,1,0,0,1,0,0,1,4
BVTH5RX6,3,2,0,0,1,0,0,1,4
BWT7L7P1,3,1,0,0,0,0,1,1,4
BRXE7LMJ,3,1,0,0,0,0,1,1,4
C1EB3ZTT,3,1,0,0,0,0,1,1,4
BXP5RVMQ,3,1,0,0,1,0,0,1,4
BY88U9L5,3,1,0,1,0,0,0,1,4
BVC6USSZ,3,1,0,0,0,0,1,1,4
BXPT33GQ,3,1,0,0,0,0,1,1,4
BWNHFBXY,3,1,0,1,0,0,0,1,4
BWJSODHD,3,1,0,0,0,0,1,1,5
BXT71DL6,3,1,0,0,0,0,1,1,5
BVDMXPNF,3,1,0,0,0,1,0,1,4
BVT3EDJ9,3,1,0,0,0,0,1,1,4
BVC34CXP,3,1,0,0,0,1,1,0,4
BXBTBWIF,3,1,1,0,0,0,0,1,4
BVPNQGNZ,3,1,1,0,0,0,0,1,4
BWKA81MN,3,1,0,0,0,0,1,1,4
BWPJNT9E,3,1,0,0,0,0,1,1,4
BT78JXZ5,3,1,0,0,0,0,1,1,4
BVRQOBKK,3,1,0,0,0,0,1,1,4
BY1NR8AC,3,1,0,0,0,0,1,1,4
BVN2F1BF,3,1,0,1,0,0,0,1,4
BVNFGYEY,3,1,0,0,0,0,1,1,5
BVQKF9AS,3,1,0,0,0,1,0,1,4
BVFDFQH8,3,1,1,0,0,0,0,1,4
BSGEERAR,3,1,0,1,0,0,0,1,4
BX92XVTE,3,1,0,0,0,0,2,1,4
BW2JUUKW,3,1,0,1,0,0,0,1,4
BUTGHPWW,3,1,0,0,1,0,1,0,4
C1DECV3G,3,1,0,0,0,1,1,0,4
BVRSBQT5,3,1,0,0,0,0,1,1,4
BVI3QNU2,3,1,0,0,0,1,0,1,5
BRVZPM9A,3,1,0,0,0,0,1,1,6
BWSXG6SR,3,1,0,0,0,1,0,1,4
C1FMO4FV,3,1,0,0,0,0,1,1,4
BWW4LS69,3,1,0,0,0,1,0,1,4
BRWIMM4A,3,1,0,0,1,0,1,0,5
C1N61UYT,3,1,1,0,0,0,0,1,4
BWV8HA7B,3,1,0,1,0,0,1,0,4
BWX94WLB,3,1,0,0,0,1,1,0,4
BWXEO8MK,3,2,1,0,0,0,0,1,4
BWWPR1KY,3,1,1,0,1,0,0,0,4
BYQCUJHS,3,1,1,0,0,0,0,1,4
BS9RLXVK,3,1,0,0,0,0,1,1,5
BXKEWWAX,3,1,0,0,1,0,0,1,6
BSCFVFYE,3,1,0,0,0,0,1,1,4
BYEVRSDM,3,1,0,0,0,0,1,1,4
BYFO5O1T,3,1,1,0,0,0,1,0,4
BX92WHXA,3,1,0,0,0,0,1,1,4
BRZJZNEX,3,1,0,0,0,0,1,1,4
C244BYW1,3,1,0,0,0,0,1,1,4
C1OBM9GD,3,1,0,0,0,0,1,1,4
BT31PC9P,3,1,0,0,0,0,1,1,4
BT22KEK4,3,1,0,0,0,0,1,1,4
BWQRTXSE,3,1,0,0,0,0,1,1,4
BWU1WAVK,3,1,0,0,0,0,1,1,4
BXVOZJLC,3,1,1,0,0,0,0,1,4
BW69H2CS,3,1,0,0,0,0,1,1,4
BW61WD15,3,1,0,0,0,0,1,1,4
BXIDS1LR,3,1,0,0,0,0,1,1,4
BWXA4KT6,3,1,0,0,0,0,1,1,4
BT9C5MPT,3,1,0,0,0,1,1,0,4
BYHU53QK,3,1,0,0,0,1,1,0,4
BW7GKKTK,3,1,0,0,0,0,1,1,5
BXDTX2NK,3,1,0,1,0,0,0,1,5
BVCNDXMV,3,1,0,0,0,0,1,1,4
BSDU18PE,3,1,0,0,0,0,1,1,4
BWF518KS,3,1,0,0,1,0,0,1,4
C24S8Q6R,3,1,1,0,0,0,1,0,4
C28MI5D5,3,2,0,0,0,1,0,1,4
BXXDPTQL,3,1,1,0,0,0,1,0,4
BSGY4LNL,3,1,1,0,0,0,1,0,4
BXC3N1N5,3,1,0,0,0,0,1,1,4
BXQN64J8,3,1,0,1,0,0,1,0,4
BXEWNQJ4,3,1,1,0,0,0,0,1,4
BRKLO7B3,3,1,0,0,0,0,1,1,4
BXFPMMO5,3,1,1,0,0,0,1,0,4
BWH5MCX7,3,1,0,0,1,0,1,0,4
BVL7W3I5,3,1,1,0,0,0,0,1,4
BW8UAT5W,3,1,0,0,0,1,1,0,4
BVFWXYBV,3,1,0,0,0,0,1,1,5
BWHPOR44,3,1,0,0,0,0,1,1,4
C2GOILSF,3,1,0,0,0,0,1,1,4
BYZ3ZZUZ,3,1,0,0,0,0,1,1,6
BSGWWKDO,3,1,0,0,0,0,1,1,4
C2JMVVYE,3,1,0,0,0,1,1,0,5
C2FWVZEE,3,1,0,1,0,0,0,1,4
C2D3MVCF,3,1,0,0,0,0,1,1,4
BWI4X8VV,3,1,0,0,0,0,1,1,4
BSAO6F3C,3,1,0,0,0,0,1,1,4
BTTWLSBO,3,1,0,0,0,0,1,1,4
BS9RBPQF,3,1,0,0,0,0,1,1,4
BSB6UK33,3,1,0,0,0,0,1,1,4
BXU9ZFYP,3,1,1,0,0,0,0,1,4
BVMCMM5I,3,1,0,1,0,0,0,1,4
C2NTN2V8,3,1,1,0,0,0,0,1,4
BROYVYEE,3,2,0,1,0,0,1,0,4
BWCB4C68,3,1,0,0,0,0,1,1,4
BZKJ2HZO,3,1,0,0,0,0,1,1,4
C2PU7MIT,3,1,0,0,0,0,1,1,4
BS553VNW,3,1,0,0,0,0,1,1,6
BZ7V2JSI,3,1,0,1,0,0,0,1,4
BVOEFL4W,3,1,0,0,0,0,1,1,4
BXPXOR9M,3,1,0,0,0,0,1,1,4
BWD4VJJF,3,1,0,0,0,0,1,1,4
BXVI8SAQ,3,1,0,0,0,0,1,1,4
BXHF2W4E,3,1,0,0,0,0,1,1,4
BY1PFTZW,3,1,0,1,0,0,0,1,4
BX3C2T8Y,3,1,1,0,0,0,0,1,5
BWOEFDMY,3,1,0,0,0,0,1,1,4
BZQ4X6PO,3,1,0,0,0,0,1,1,4
C2WE1XRK,3,1,0,0,0,0,1,1,4
BWYKRCV1,4,1,0,0,1,1,0,1,4
BXY5S288,3,1,0,0,0,0,1,1,4
BWRV1AZP,3,1,0,0,0,0,1,1,5
BXPDA6NP,3,1,0,0,0,0,1,1,4
