Seed    ,Blueprint,Brainstorm,Oops,SpaceJoker,BurntJoker,DNA,Troubadour,TurtleBean,NegativeSkipTags
9KB8A1M ,4,0,0,4,0,0,0,0,0
B3QGESG ,4,0,2,2,2,0,0,0,0
BALNFAJ ,4,0,2,6,0,0,2,0,0
BVO2MPW ,4,0,2,2,0,0,0,0,0
CJID1HG ,4,0,0,2,0,0,0,0,0
EHN1ZP9 ,4,0,0,4,0,0,0,0,0
DJSJMJW ,4,0,0,2,0,0,0,0,0
FA83C2A ,4,0,0,2,0,0,0,0,0
F7HN7FH ,4,0,2,2,0,0,0,0,0
GLJJREN ,4,0,0,2,0,0,0,0,0
FTTS2KE ,4,0,0,2,0,2,0,0,0
H7SJX12 ,4,0,0,2,0,0,0,2,0
HFJPDZ1 ,4,0,0,4,0,0,0,0,0
HMU7I53 ,4,0,2,4,0,0,0,0,0
HYWUHUJ ,4,0,0,2,0,4,0,0,0
M3ESNC4 ,4,0,0,2,0,0,0,0,0
NBI7NKQ ,4,0,2,4,0,0,0,0,0
KW93TFK ,4,0,0,2,2,0,0,0,0
M83LZCI ,4,0,0,2,0,0,0,0,0
LGR3H64 ,4,0,0,2,0,0,0,0,0
LJ9B1IG ,4,0,0,2,0,0,0,0,0
NQRVN78 ,4,0,0,2,0,0,2,0,0
NAICRT5 ,4,0,0,2,0,0,0,0,0
N7DIOB4 ,4,0,0,2,0,0,0,0,0
LYVMYE9 ,4,0,0,2,0,0,0,0,0
OIMMO6G ,4,0,0,2,0,0,0,0,0
PK62E1M ,4,0,0,2,0,0,2,0,0
Q265CQX ,4,0,0,2,0,0,0,0,0
RH55187 ,4,0,0,2,0,0,2,0,0
QOQY868 ,4,0,0,2,0,0,0,2,0
QFJ9LPG ,4,0,0,2,0,0,0,0,0
UTAVN7G ,4,0,2,6,0,0,0,0,0
S9K8F8Q ,4,0,0,2,2,0,0,2,0
W9KPKYW ,4,0,0,2,0,0,0,0,0
XO2Z32W ,4,0,2,2,0,0,0,0,0
VGJIWRX ,4,0,0,2,0,0,0,0,0
WWXY8LT ,4,0,0,2,0,0,0,0,0
VLRIKVT ,4,0,0,2,0,0,0,0,0
RXPYJ2O ,4,0,0,2,0,0,0,0,0
ZKTI9BN ,4,0,4,2,0,0,0,0,0
ZB31ILL ,4,0,0,4,2,0,0,0,0
CNQ2F25 ,2,6,0,2,2,2,0,0,0
73QBL3B ,2,4,0,2,0,0,0,0,0
92YBEXB ,2,4,2,2,0,0,0,0,0
DQ3IQMT ,2,4,0,4,0,0,0,0,0
F4U7HV5 ,2,4,0,4,0,2,0,0,0
I83RVQR ,2,4,0,2,2,0,0,0,0
P12K6GL ,2,4,0,2,2,0,0,0,0
PCERCQX ,2,4,0,4,0,0,0,0,0
R9512Y2 ,2,4,0,2,0,0,0,0,0
1YHC24J ,2,2,2,2,0,0,0,0,0
1YQGGQO ,2,2,2,2,0,0,0,0,0
3LXM8H1 ,2,2,2,2,0,0,0,0,0
7HR2S14 ,2,2,2,2,0,0,2,2,0
G7JAI1Y ,2,2,2,2,0,0,0,0,0
I9ZN7OD ,2,2,2,2,0,0,0,0,0
O55YAVT ,2,2,2,2,0,0,4,0,0
RXFYKIN ,2,2,2,2,2,0,2,0,0
TCS9PRS ,2,2,2,2,0,0,0,0,0
