Seed,Score,Blueprint,Brainstorm,OopsAll6s,LuckyCat,Hack,None,NegativeSkipTags,NegativeRandomJokers
CSKCXH  ,1,0,0,0,0,1,0,1,0
CEZCJR  ,3,0,1,0,1,1,0,0,0
CEN3AQ  ,2,0,0,1,0,1,0,1,0
D27U7J  ,3,0,0,8,1,7,0,1,0
C9W5NA  ,2,1,0,0,0,1,0,0,0
D5YD8Q  ,1,0,0,0,0,1,0,1,1
DH1DGR  ,2,0,0,1,0,2,0,1,0
DLFNGX  ,1,0,0,0,0,1,0,0,0
CNZ13N  ,2,0,0,1,0,1,0,0,0
D754TF  ,2,0,0,1,0,1,0,1,0
CLMERA  ,1,0,0,0,0,1,0,0,1
D982VE  ,1,0,0,0,0,1,0,0,0
DAQA7C  ,2,0,2,0,0,1,0,1,0
DW7A88  ,2,0,1,0,0,2,0,2,0
DAVI9A  ,3,4,0,0,5,1,0,0,0
CZ5R4V  ,3,0,1,1,0,1,0,1,0
CYHP2K  ,2,1,0,0,0,1,0,1,0
DXD65O  ,1,0,0,0,0,1,0,1,0
E7V5X6  ,1,0,0,0,0,1,0,2,0
DRS3XO  ,1,0,0,0,0,1,0,0,0
DU92WN  ,1,0,0,0,0,1,0,0,0
DXOIKX  ,2,0,0,0,1,1,0,1,0
DV5LK5  ,1,0,0,0,0,1,0,1,0
E49EAC  ,2,1,0,0,0,3,0,1,0
EU7VP3  ,1,0,0,0,0,2,0,0,1
EA1L6W  ,1,0,0,0,0,1,0,0,0
DUVDJ7  ,3,1,0,1,0,1,0,2,0
E9GQMM  ,2,0,0,0,3,1,0,0,0
EDJLP7  ,2,0,1,0,0,1,0,1,0
EEJJGX  ,3,0,1,0,2,1,0,1,0
E33R9B  ,2,1,0,0,0,1,0,1,0
E4BHOE  ,1,0,0,0,0,1,0,3,0
EO4BY6  ,1,0,0,0,0,3,0,1,0
EXM314  ,1,0,0,0,0,1,0,1,0
FB5E4G  ,3,1,0,1,0,1,0,0,0
EUB1XP  ,2,0,0,1,0,1,0,1,1
F4VGBG  ,2,0,1,0,0,1,0,1,0
EQVQ14  ,1,0,0,0,0,1,0,1,0
F9OYK5  ,1,0,0,0,0,1,0,0,0
FKYWIC  ,1,0,0,0,0,1,0,1,0
FRA13Z  ,2,0,4,0,0,1,0,0,0
FVWPAZ  ,1,0,0,0,0,1,0,1,0
FW35JP  ,1,0,0,0,0,2,0,2,0
FZW8S5  ,2,0,1,0,0,1,0,0,1
H3PAE8  ,1,0,0,0,0,1,0,1,0
GTYP8Q  ,1,0,0,0,0,3,0,0,0
G4U5LV  ,1,0,0,0,0,1,0,3,0
GP5VHU  ,1,0,0,0,0,1,0,0,0
H18JWJ  ,1,0,0,0,0,3,0,0,0
GH3DRH  ,2,0,1,0,0,2,0,0,0
GX4ZBX  ,2,3,0,0,0,2,0,1,0
HZ3QES  ,1,0,0,0,0,1,0,0,0
HP1JLV  ,1,0,0,0,0,2,0,3,0
HHM4FY  ,2,2,0,0,0,1,0,1,0
J4DHL7  ,1,0,0,0,0,1,0,0,0
HZ9UH4  ,1,0,0,0,0,1,0,2,0
I1HFHG  ,2,0,0,1,0,1,0,1,0
IXYIWF  ,1,0,0,0,0,1,0,0,0
J2KKVK  ,2,0,0,0,1,1,0,0,0
JIU1P9  ,1,0,0,0,0,2,0,1,0
HVWJ2Z  ,1,0,0,0,0,1,0,3,0
IIJ5OX  ,1,0,0,0,0,1,0,2,0
I9TIHL  ,1,0,0,0,0,1,0,1,1
J2NESY  ,3,0,1,1,0,1,0,0,1
IUN9W6  ,1,0,0,0,0,2,0,0,0
IQ788N  ,1,0,0,0,0,3,0,2,0
I9XQSD  ,2,0,0,0,1,1,0,2,0
K22G3H  ,3,0,2,1,0,1,0,1,1
JER6LF  ,1,0,0,0,0,1,0,0,1
JGVR6L  ,1,0,0,0,0,1,0,2,0
JKGJ8E  ,1,0,0,0,0,1,0,1,0
J2BZ2G  ,3,1,0,1,0,1,0,0,0
KXAVFN  ,1,0,0,0,0,1,0,1,1
IXNY5P  ,2,0,1,0,0,1,0,2,1
KJJJG3  ,1,0,0,0,0,1,0,0,0
JRI554  ,1,0,0,0,0,1,0,0,1
JM233P  ,2,0,0,0,2,1,0,1,0
JAKVUZ  ,3,1,1,0,0,1,0,0,0
KHE5XL  ,2,0,0,0,1,2,0,1,0
JQE1AA  ,2,0,1,0,0,1,0,0,0
LIWXEG  ,3,1,2,0,0,1,0,0,0
KN6UXT  ,1,0,0,0,0,1,0,1,0
KMUR9Y  ,1,0,0,0,0,2,0,0,0
KTMUXC  ,2,0,1,0,0,1,0,1,0
LUKS62  ,1,0,0,0,0,1,0,2,0
KSO9XH  ,2,1,0,0,0,2,0,0,1
KGM6VU  ,3,1,0,0,1,1,0,0,0
MSMS4N  ,2,0,0,1,0,1,0,0,0
L2KTB8  ,1,0,0,0,0,1,0,0,0
L529PH  ,2,1,0,0,0,1,0,0,1
LAM28W  ,2,0,0,1,0,2,0,0,0
LETTGN  ,2,1,0,0,0,1,0,0,1
LZAHS1  ,1,0,0,0,0,1,0,0,0
M2GBT1  ,1,0,0,0,0,1,0,2,0
LKLNYK  ,1,0,0,0,0,1,0,1,0
LDVC7D  ,1,0,0,0,0,1,0,1,0
LN1PJT  ,3,1,2,0,0,1,0,0,0
MV9MPY  ,3,0,0,1,1,1,0,1,0
MASLV4  ,2,0,1,0,0,1,0,2,0
NVBPVE  ,1,0,0,0,0,1,0,1,0
M7UWY3  ,1,0,0,0,0,1,0,1,0
MNWE1D  ,1,0,0,0,0,1,0,0,0
M244KZ  ,2,0,1,0,0,1,0,2,0
M7AFDS  ,1,0,0,0,0,1,0,1,1
NG7KNR  ,2,0,0,1,0,2,0,1,0
NBHJJ6  ,2,0,1,0,0,1,0,3,0
MVSLKV  ,2,0,0,1,0,1,0,1,0
NM2EZO  ,1,0,0,0,0,1,0,0,0
NEZPI8  ,2,0,0,0,2,1,0,0,0
NJNZQX  ,1,0,0,0,0,1,0,2,0
NAY7NW  ,1,0,0,0,0,1,0,1,0
NVJ1VN  ,1,0,0,0,0,1,0,2,0
NQ3KMJ  ,2,0,0,1,0,1,0,1,1
NYZ4ZZ  ,2,0,0,0,1,3,0,2,0
PMJ8RF  ,1,0,0,0,0,2,0,0,0
NWR7JE  ,1,0,0,0,0,1,0,1,0
NXXW9D  ,1,0,0,0,0,1,0,0,0
NZRWQR  ,3,1,0,0,1,1,0,0,0
P8MZJ7  ,3,1,0,1,0,1,0,0,0
PQUDZ6  ,2,0,0,1,0,1,0,3,0
O1NGPY  ,2,1,0,0,0,1,0,1,0
PAIDIC  ,2,0,0,1,0,7,0,0,0
ONYZZ3  ,2,1,0,0,0,1,0,1,1
PA7JWX  ,1,0,0,0,0,2,0,0,0
OKBKEO  ,1,0,0,0,0,4,0,1,0
P1KBYP  ,1,0,0,0,0,1,0,1,0
S3IQ14  ,1,0,0,0,0,5,0,2,0
P3SCFI  ,1,0,0,0,0,1,0,1,0
OUHH9G  ,1,0,0,0,0,1,0,0,0
PM99ZB  ,1,0,0,0,0,1,0,1,0
P73RFK  ,1,0,0,0,0,1,0,0,0
POICSZ  ,2,0,1,0,0,2,0,2,0
Q7FDHD  ,2,0,1,0,0,1,0,0,0
QTY4Z4  ,3,0,1,1,0,1,0,0,1
QBDWOT  ,1,0,0,0,0,4,0,1,0
Q9RQ82  ,1,0,0,0,0,3,0,1,0
Q9ZQ9C  ,3,1,0,2,0,1,0,2,0
QFC9XQ  ,1,0,0,0,0,1,0,1,0
PRVYP5  ,2,0,0,1,0,1,0,0,0
QPV7LL  ,1,0,0,0,0,3,0,0,0
Q3UZBD  ,1,0,0,0,0,2,0,0,0
QUHS7S  ,1,0,0,0,0,1,0,1,0
QUO4YH  ,1,0,0,0,0,1,0,0,0
QYD4OQ  ,1,0,0,0,0,1,0,0,1
R6L1HK  ,2,0,1,0,0,1,0,0,1
QS6EUF  ,1,0,0,0,0,1,0,0,0
SCF68F  ,1,0,0,0,0,1,0,1,0
QQ3LA1  ,1,0,0,0,0,3,0,0,0
RZAX7T  ,1,0,0,0,0,1,0,0,0
S1ACQJ  ,1,0,0,0,0,1,0,1,0
QSW9G5  ,1,0,0,0,0,1,0,0,0
RQHZ2U  ,1,0,0,0,0,1,0,0,0
S2KOIS  ,2,1,0,0,0,1,0,1,0
SZMD3Y  ,1,0,0,0,0,1,0,1,0
R3USCE  ,2,0,1,0,0,1,0,0,1
S35U6W  ,2,0,1,0,0,1,0,1,1
RV67XC  ,1,0,0,0,0,1,0,1,0
TPW94E  ,1,0,0,0,0,1,0,2,0
TAXJAS  ,2,0,1,0,0,1,0,0,0
TW29VH  ,2,0,0,0,1,1,0,1,0
TR72VX  ,1,0,0,0,0,1,0,0,0
UMHRCY  ,2,0,0,1,0,1,0,0,0
T6I8EU  ,3,1,1,0,0,2,0,1,0
RYB7GO  ,2,0,0,2,0,1,0,0,0
T2CHI7  ,4,0,2,2,1,1,0,0,0
TB6VHP  ,2,0,0,0,1,1,0,1,0
SL5L1W  ,1,0,0,0,0,2,0,0,0
TZ3X98  ,2,0,0,1,0,1,0,0,0
TTEZTF  ,2,0,0,0,1,4,0,0,1
TZFAPW  ,1,0,0,0,0,1,0,2,0
TOTDIJ  ,1,0,0,0,0,1,0,1,0
U46RGR  ,4,1,1,1,0,1,0,0,0
ULEW2C  ,4,1,1,1,0,2,0,1,0
T234PG  ,1,0,0,0,0,1,0,3,0
TE8HRM  ,1,0,0,0,0,1,0,1,0
WC7SK2  ,2,0,0,0,1,2,0,0,0
W1E3EA  ,3,1,3,0,0,1,0,0,0
T7UQMN  ,1,0,0,0,0,1,0,0,0
V7RZ4S  ,1,0,0,0,0,2,0,1,0
WI54BU  ,1,0,0,0,0,1,0,0,0
VBLKFR  ,1,0,0,0,0,1,0,1,0
V9LHNV  ,1,0,0,0,0,7,0,0,0
V2LBVU  ,1,0,0,0,0,1,0,0,0
WSAZCC  ,1,0,0,0,0,1,0,1,0
V73D2N  ,1,0,0,0,0,1,0,3,0
WPD4HK  ,1,0,0,0,0,2,0,1,0
VLYOI1  ,2,0,0,2,0,1,0,0,0
WVH13U  ,1,0,0,0,0,1,0,0,0
ZKB9DP  ,2,0,0,0,1,1,0,1,0
XLWVN2  ,2,0,2,0,0,1,0,0,0
WURYZ2  ,1,0,0,0,0,2,0,0,0
WQWWJX  ,3,0,0,1,2,1,0,0,0
XCHOTD  ,1,0,0,0,0,8,0,2,0
XBZ1D7  ,2,1,0,0,0,1,0,1,0
WYSM5R  ,1,0,0,0,0,1,0,0,0
XWUGXQ  ,2,0,0,3,0,2,0,0,0
ZMYLAV  ,1,0,0,0,0,1,0,2,0
XO9ARN  ,1,0,0,0,0,1,0,0,0
ZVETWB  ,1,0,0,0,0,3,0,1,0
YB6VQA  ,1,0,0,0,0,2,0,0,0
YCO9W2  ,1,0,0,0,0,1,0,0,0
XLX4KM  ,2,1,0,0,0,1,0,0,0
ZHUCFN  ,1,0,0,0,0,2,0,0,0
YWYFTL  ,2,0,1,0,0,1,0,0,0
YYHZR3  ,2,0,0,1,0,1,0,1,0
YZ8G8W  ,1,0,0,0,0,1,0,1,0
YK3EZG  ,1,0,0,0,0,2,0,0,0
YQDL24  ,1,0,0,0,0,1,0,0,0
ZTO5E7  ,2,0,1,0,0,1,0,0,0
ZJVVHR  ,1,0,0,0,0,3,0,1,0
12MEJNA ,2,0,0,0,1,1,0,0,0
XP29L5  ,2,0,2,0,0,2,0,0,0
119F9L4 ,3,1,0,0,1,1,0,0,0
ZJI8UT  ,1,0,0,0,0,1,0,1,0
12UAR2M ,2,0,0,0,1,1,0,1,0
11OH3AF ,1,0,0,0,0,1,0,1,0
Z7A5WB  ,1,0,0,0,0,1,0,2,0
1177SJA ,2,0,0,2,0,1,0,0,0
11BD53B ,1,0,0,0,0,1,0,0,0
YRFT3N  ,1,0,0,0,0,1,0,1,0
11OAJZD ,1,0,0,0,0,1,0,1,0
1357QHN ,2,0,2,0,0,1,0,0,1
11XI1H1 ,1,0,0,0,0,1,0,2,0
1359OPY ,1,0,0,0,0,2,0,0,0
12XK2CM ,3,0,1,1,0,2,0,1,0
12B5367 ,1,0,0,0,0,1,0,0,0
13HRM4S ,2,3,0,0,0,1,0,1,0
11V8TTL ,1,0,0,0,0,2,0,1,0
13OMEPT ,3,0,0,1,2,1,0,0,0
135AY2G ,2,0,0,1,0,1,0,1,0
13ZTYLF ,1,0,0,0,0,2,0,0,0
14W9LRS ,2,0,0,0,1,2,0,2,0
11OOOPA ,2,0,0,1,0,1,0,0,0
13LB9PT ,1,0,0,0,0,1,0,3,0
14VN83H ,3,1,0,1,0,1,0,0,0
12C1HNI ,1,0,0,0,0,2,0,0,0
154GSEI ,1,0,0,0,0,1,0,3,0
14OTLA2 ,2,0,0,1,0,1,0,0,0
15OEDIA ,1,0,0,0,0,1,0,1,0
13AFICX ,2,0,1,0,0,2,0,0,2
1689Y67 ,1,0,0,0,0,1,0,0,0
15ERHMI ,2,0,0,1,0,3,0,1,0
151A6MX ,1,0,0,0,0,1,0,1,0
1663RRB ,1,0,0,0,0,2,0,0,0
16V1OSA ,1,0,0,0,0,1,0,1,0
17J3EDD ,2,2,0,0,0,1,0,0,0
16Y4MQY ,2,0,1,0,0,1,0,1,0
16A4DED ,1,0,0,0,0,1,0,1,0
17K89JE ,1,0,0,0,0,1,0,2,0
185QD3L ,1,0,0,0,0,1,0,0,0
156N6OT ,3,3,0,0,1,1,0,0,0
158SL7O ,1,0,0,0,0,1,0,1,0
1682CP4 ,1,0,0,0,0,2,0,0,0
1BRR8LZ ,1,0,0,0,0,1,0,1,0
19MWSVT ,2,1,0,0,0,3,0,1,0
19NKPZL ,3,1,1,0,0,1,0,0,1
18CMZGO ,2,1,0,0,0,1,0,2,0
1COC4UU ,2,0,0,0,1,1,0,0,0
18DY6IF ,1,0,0,0,0,3,0,0,0
17QTIM6 ,1,0,0,0,0,1,0,2,0
16H7ULP ,1,0,0,0,0,1,0,0,0
186Q58K ,2,0,0,0,1,1,0,0,0
1E511UE ,1,0,0,0,0,1,0,1,0
1BOZKRZ ,2,0,0,0,2,1,0,1,0
189WXW8 ,2,0,0,1,0,1,0,0,0
1ADH78O ,3,1,1,0,0,1,0,0,0
19XDSO9 ,2,0,0,1,0,1,0,1,0
17DCEDH ,2,1,0,0,0,1,0,0,0
1CILQ5C ,2,0,1,0,0,1,0,1,0
1AM9AE4 ,2,0,0,0,1,1,0,3,0
1AVKCBE ,1,0,0,0,0,2,0,1,0
17NX1YT ,2,0,0,1,0,1,0,0,0
197M9J1 ,1,0,0,0,0,1,0,0,0
19STUZR ,1,0,0,0,0,1,0,0,0
1AS8ZRP ,2,1,0,0,0,1,0,0,1
1CLU5AP ,1,0,0,0,0,1,0,2,0
1BJFQAT ,1,0,0,0,0,3,0,1,0
1CD5KYL ,1,0,0,0,0,2,0,0,0
1BJ62WM ,1,0,0,0,0,1,0,1,0
1CL74ZS ,2,0,0,1,0,1,0,0,0
1A3X7YT ,1,0,0,0,0,1,0,0,0
1987VBS ,2,0,0,1,0,1,0,1,0
1AQO4L1 ,1,0,0,0,0,2,0,0,0
1EE3YQS ,1,0,0,0,0,1,0,0,0
