Seed,Score,Blueprint,Brainstorm,OopsAll6s,LuckyCat,Hack,None,NegativeSkipTags,NegativeRandomJokers
1XPHV7O ,2,1,0,0,0,1,0,0,0
1VPDWDS ,2,1,0,0,0,2,0,0,0
1XZVURY ,2,1,0,0,0,1,0,1,0
265FFNR ,2,0,0,1,0,1,0,2,0
1XLTYRE ,2,0,1,0,0,1,0,0,1
1XUNATG ,2,1,0,0,0,1,0,2,0
1YICCL3 ,1,0,0,0,0,1,0,0,0
22FMVV4 ,1,0,0,0,0,2,0,0,0
1YUTQ1N ,1,0,0,0,0,2,0,1,0
1UE173W ,1,0,0,0,0,2,0,1,0
1ZLXD4C ,2,1,0,0,0,4,0,1,1
1WRIRSE ,1,0,0,0,0,1,0,2,1
1VLC54U ,2,0,0,1,0,1,0,0,0
24UUKP4 ,3,0,1,1,0,1,0,1,0
1VQ6TBX ,2,0,0,0,1,2,0,0,0
1YYDM1Q ,1,0,0,0,0,3,0,3,0
1WN8D2V ,2,0,0,1,0,1,0,0,0
1ZURRBY ,1,0,0,0,0,1,0,1,0
1XCU9S9 ,2,0,0,1,0,1,0,2,0
1VSD8SL ,2,0,1,0,0,2,0,2,0
26T1GJ8 ,1,0,0,0,0,1,0,1,0
21HJND7 ,2,1,0,0,0,1,0,1,0
25VYK2J ,1,0,0,0,0,2,0,0,0
21MAWB1 ,1,0,0,0,0,1,0,0,0
22TILB1 ,3,0,1,1,0,2,0,0,1
1Z5G59A ,2,0,1,0,0,1,0,1,0
27PNOMG ,1,0,0,0,0,1,0,0,0
2359873 ,2,0,2,0,0,2,0,1,1
22G8DJZ ,1,0,0,0,0,2,0,0,0
1ZN3EKL ,1,0,0,0,0,1,0,0,0
23TZJJZ ,3,0,1,1,0,1,0,2,0
27ST4U1 ,1,0,0,0,0,1,0,1,0
24UP7EH ,1,0,0,0,0,1,0,0,0
21NEEVO ,1,0,0,0,0,1,0,1,1
296RX12 ,2,1,0,0,0,1,0,1,0
27I4GBQ ,1,0,0,0,0,1,0,1,0
23SVE5R ,1,0,0,0,0,1,0,0,0
29FAQG4 ,1,0,0,0,0,2,0,0,0
22D55F1 ,1,0,0,0,0,1,0,1,0
274FHJM ,1,0,0,0,0,1,0,1,0
22ZDIOH ,1,0,0,0,0,1,0,0,0
25VG5MX ,2,2,0,0,0,2,0,0,0
275P4IP ,2,2,0,0,0,1,0,0,0
2KZOU2Q ,1,0,0,0,0,1,0,0,0
2578YN7 ,2,0,1,0,0,1,0,1,0
23EY6MH ,1,0,0,0,0,2,0,1,1
2BCBMGP ,1,0,0,0,0,1,0,0,0
2BT778B ,1,0,0,0,0,1,0,1,1
2CBMLME ,1,0,0,0,0,1,0,3,0
26A8J2H ,3,2,0,0,1,1,0,1,0
2D4WU6Y ,1,0,0,0,0,1,0,3,0
24E45RR ,1,0,0,0,0,1,0,1,0
2BUBA6V ,2,0,0,1,0,1,0,0,0
24H3B8K ,2,0,0,1,0,1,0,1,0
2697DLQ ,1,0,0,0,0,3,0,0,0
2DKO5HL ,2,0,0,1,0,2,0,0,0
2D2WWWX ,2,1,0,0,0,1,0,0,0
23SVJY3 ,1,0,0,0,0,1,0,1,0
2BZ68RK ,1,0,0,0,0,2,0,1,0
27HQ57E ,1,0,0,0,0,2,0,0,0
27KA635 ,1,0,0,0,0,1,0,1,2
2CGJDHA ,2,0,0,0,1,1,0,0,0
2GFDRAF ,2,0,1,0,0,1,0,0,0
2PIDQKF ,1,0,0,0,0,1,0,2,0
2AOJ5D5 ,1,0,0,0,0,1,0,0,0
29UZU6X ,1,0,0,0,0,1,0,0,0
282TG1Q ,1,0,0,0,0,1,0,1,0
2DDWVZD ,1,0,0,0,0,1,0,1,0
2QRP3ML ,1,0,0,0,0,2,0,1,0
2EUVSHW ,2,0,0,1,0,1,0,1,0
2J5U9V2 ,2,0,1,0,0,1,0,2,0
29X18ZB ,1,0,0,0,0,1,0,3,1
2CZXQF1 ,1,0,0,0,0,1,0,1,1
29LUVFQ ,2,0,1,0,0,1,0,0,0
28293PD ,1,0,0,0,0,1,0,1,0
28AN313 ,2,0,0,1,0,1,0,0,0
2FJR1LX ,1,0,0,0,0,1,0,0,0
2DT77A9 ,1,0,0,0,0,2,0,0,0
27G4A9C ,1,0,0,0,0,1,0,1,0
2EZM4NC ,1,0,0,0,0,1,0,1,0
28LGDOP ,2,1,0,0,0,1,0,2,0
27TJFBG ,2,0,2,0,0,1,0,1,0
2JGM8RD ,1,0,0,0,0,1,0,1,0
2XB29IF ,1,0,0,0,0,1,0,1,1
2J7O4RO ,1,0,0,0,0,1,0,1,0
2G9VC6C ,1,0,0,0,0,2,0,0,0
2FMS4C3 ,2,1,0,0,0,1,0,2,1
2EVBVTJ ,2,1,0,0,0,2,0,0,0
2LMM2I4 ,1,0,0,0,0,1,0,1,0
2N1ZMB2 ,2,0,1,0,0,1,0,0,0
2CLDATK ,1,0,0,0,0,2,0,1,0
2E9OKQM ,2,0,0,2,0,2,0,1,0
2BCOCDX ,1,0,0,0,0,5,0,1,0
2I7DWVZ ,3,1,0,1,0,1,0,1,0
2L7P19K ,1,0,0,0,0,3,0,1,0
2MGAEAJ ,2,1,0,0,0,1,0,2,0
2GFO11T ,3,0,1,1,0,1,0,0,1
2GH1DNZ ,2,0,1,0,0,2,0,3,0
2OO1GUG ,2,0,0,0,1,1,0,0,0
2WRVEOO ,2,1,0,0,0,2,0,2,0
2BRZIZ3 ,3,0,0,1,1,2,0,0,0
2JERCBU ,2,0,0,8,0,1,0,2,0
2XUUCOY ,1,0,0,0,0,1,0,1,0
2EUYS46 ,2,0,0,1,0,1,0,1,0
2PAGLSF ,1,0,0,0,0,1,0,1,0
2K2BKCS ,3,0,1,0,1,1,0,1,0
2QPKVRY ,2,1,0,0,0,1,0,0,0
2M7BEMY ,1,0,0,0,0,1,0,0,0
2HSRORE ,1,0,0,0,0,1,0,0,0
2IVQKST ,2,1,0,0,0,2,0,0,0
327O7RJ ,3,0,0,1,7,1,0,1,0
2M7PV45 ,1,0,0,0,0,1,0,0,0
2PYRRZ4 ,1,0,0,0,0,1,0,2,0
2PRIFCT ,3,1,1,0,0,1,0,1,0
2GBYYDG ,1,0,0,0,0,1,0,0,1
2OUYDQR ,3,1,0,1,0,1,0,1,0
2RQR3DN ,2,0,1,0,0,1,0,1,0
2KNGSRS ,1,0,0,0,0,1,0,0,0
2OW3XPS ,1,0,0,0,0,1,0,0,0
36AOWVL ,1,0,0,0,0,1,0,0,0
2L1CL1T ,1,0,0,0,0,2,0,0,1
2JFVLJ9 ,1,0,0,0,0,1,0,0,0
2GYVXW5 ,2,0,1,0,0,1,0,1,0
2LN8Q6G ,1,0,0,0,0,1,0,1,0
2PA64R5 ,1,0,0,0,0,1,0,2,0
2XJBFGI ,2,0,0,0,1,1,0,1,0
2QYS1KK ,1,0,0,0,0,2,0,0,1
2R2B6XR ,3,0,1,1,0,1,0,0,0
2TYCNDG ,2,0,0,1,0,2,0,0,1
2K6SV9M ,1,0,0,0,0,1,0,0,0
