Seed,Score,Blurprint,Brainstorm,Burnt_Joker,Space_Joker,Oops_All_6s,DNA,NegativeTags,NegativeJokers
C5BKN5  ,2,1,0,0,0,1,0,0,0
C5LM14  ,2,1,0,1,0,0,0,0,0
C5N6O9  ,1,1,0,0,0,0,0,1,0
C7B8PZ  ,2,1,0,1,0,0,0,2,0
C8GZ5I  ,1,1,0,0,0,0,0,0,0
C9X3LL  ,2,1,0,1,0,0,0,0,0
CAVBJN  ,2,1,0,0,0,1,0,0,2
CCNPDU  ,1,1,0,0,0,0,0,0,0
CDERFM  ,1,1,0,0,0,0,0,0,0
CF6CG5  ,1,1,0,0,0,0,0,1,0
CFB55X  ,2,1,0,0,0,1,0,0,0
CFND7C  ,1,1,0,0,0,0,0,3,0
CHSVO   ,3,1,1,0,1,0,0,0,0
CJBM4R  ,1,1,0,0,0,0,0,1,0
CK76VU  ,1,1,0,0,0,0,0,1,0
CKLILL  ,1,1,0,0,0,0,0,0,0
CMURO   ,1,1,0,0,0,0,0,2,0
CNVVCZ  ,1,1,0,0,0,0,0,2,0
CPUWLP  ,1,1,0,0,0,0,0,2,0
CSF716  ,1,1,0,0,0,0,0,2,0
CSG4KR  ,1,1,0,0,0,0,0,1,0
CX4H3B  ,1,1,0,0,0,0,0,0,1
D1RUHS  ,3,1,0,0,1,0,1,0,0
D24KAE  ,1,1,0,0,0,0,0,0,0
D2RX9T  ,1,1,0,0,0,0,0,1,0
D39PCK  ,1,1,0,0,0,0,0,1,0
D4Z72T  ,1,1,0,0,0,0,0,2,0
D5LPS7  ,2,1,0,0,1,0,0,1,0
D6ZV5T  ,1,1,0,0,0,0,0,1,1
DAZKDC  ,2,1,1,0,0,0,0,0,0
DCL23S  ,2,1,1,0,0,0,0,2,0
DF1KW3  ,2,5,5,0,0,0,0,1,0
DHR5E   ,1,1,0,0,0,0,0,0,0
DJA736  ,2,1,0,0,0,1,0,0,0
DJPCZW  ,1,1,0,0,0,0,0,0,0
DNC2ND  ,1,1,0,0,0,0,0,0,0
DQ27VN  ,1,1,0,0,0,0,0,1,0
DR9JD2  ,2,1,0,1,0,0,0,2,0
DS89N1  ,2,1,1,0,0,0,0,0,0
DSLYS2  ,2,1,0,0,1,0,0,0,0
DTVXIC  ,3,1,0,1,1,0,0,0,0
DTXAWR  ,3,1,0,0,2,1,0,1,2
DWXDN6  ,2,1,0,1,0,0,0,0,0
DXVQE1  ,4,1,1,1,0,1,0,0,0
E23P33  ,1,1,0,0,0,0,0,0,0
E2B7T6  ,2,1,0,0,0,1,0,1,0
E3Y7W4  ,1,1,0,0,0,0,0,1,0
E46PL9  ,1,1,0,0,0,0,0,2,0
E4XBV8  ,2,1,0,0,0,1,0,1,0
E63OVC  ,2,1,0,1,0,0,0,2,0
E6IWRT  ,1,1,0,0,0,0,0,0,0
E71D1M  ,3,1,0,1,1,0,0,2,0
E72D5G  ,2,1,0,0,1,0,0,1,0
E74MUR  ,3,1,0,2,1,0,0,0,0
E7QJ3L  ,2,1,0,1,0,0,0,0,0
E7YQQT  ,1,1,0,0,0,0,0,1,1
E932B6  ,2,1,0,1,0,0,0,1,0
EB6SV4  ,1,1,0,0,0,0,0,2,0
EBJNC4  ,1,1,0,0,0,0,0,0,0
EEKWMO  ,1,1,0,0,0,0,0,1,0
EGDLUT  ,2,1,0,1,0,0,0,2,0
EH16HG  ,2,1,0,0,0,0,1,0,0
EHK3V   ,2,1,0,0,0,1,0,3,0
EIOR16  ,2,1,0,0,1,0,0,3,0
EJWILL  ,3,1,1,0,0,0,1,1,0
ELCDBL  ,2,1,0,0,1,0,0,0,0
ELSWXP  ,1,1,0,0,0,0,0,1,0
EPJ2T   ,1,1,0,0,0,0,0,2,0
ERH9O6  ,2,1,1,0,0,0,0,1,0
ETJSID  ,2,1,0,0,1,0,0,1,0
EUSGLJ  ,1,1,0,0,0,0,0,0,0
EYKF25  ,1,1,0,0,0,0,0,0,0
EZ37GX  ,1,1,0,0,0,0,0,0,0
EZUE2V  ,2,1,0,1,0,0,0,0,0
EZWT1U  ,2,1,0,0,0,1,0,0,0
F31S9C  ,1,1,0,0,0,0,0,0,0
F4GXDH  ,2,1,0,0,1,0,0,1,0
F72L1A  ,2,1,0,0,1,0,0,2,0
F7N13Y  ,2,1,0,0,0,0,1,0,0
F9U6IS  ,2,1,1,0,0,0,0,0,0
FCGWSJ  ,1,1,0,0,0,0,0,0,0
FDINSN  ,1,1,0,0,0,0,0,1,0
FEMDU1  ,2,1,0,1,0,0,0,0,1
FFVFFA  ,2,1,0,0,0,1,0,0,0
FIAKJI  ,2,1,1,0,0,0,0,0,0
FJV9QB  ,3,1,0,1,0,1,0,0,0
FLTJAD  ,1,1,0,0,0,0,0,0,1
FO2VKK  ,2,1,0,0,1,0,0,0,0
FOXK4F  ,2,1,0,0,0,1,0,1,0
FQCPCR  ,1,1,0,0,0,0,0,0,1
FUXZ7W  ,1,1,0,0,0,0,0,0,0
FVL99Q  ,2,1,0,0,0,0,1,1,0
FVVOWU  ,3,1,0,1,0,0,1,1,1
FZD29   ,2,1,0,0,1,0,0,2,0
FZQ63S  ,1,1,0,0,0,0,0,0,1
G1KDEI  ,1,1,0,0,0,0,0,1,0
G1O4QC  ,2,1,0,0,1,0,0,0,1
G4CRD6  ,3,1,0,1,0,1,0,1,0
G4IA6L  ,2,1,0,0,1,0,0,0,0
G6HCR   ,2,1,0,0,1,0,0,0,0
G8BGPT  ,2,1,0,0,0,1,0,0,0
GABQX9  ,2,1,0,1,0,0,0,0,0
GEPKWZ  ,2,1,0,0,0,0,1,0,0
GFV6ZH  ,1,1,0,0,0,0,0,0,0
GJ43D9  ,1,1,0,0,0,0,0,0,0
GJSWMD  ,1,1,0,0,0,0,0,1,0
GKL66W  ,1,2,0,0,0,0,0,3,0
GKN2MN  ,1,1,0,0,0,0,0,2,1
GP6XYJ  ,4,1,0,1,1,2,0,1,0
GQV87B  ,1,1,0,0,0,0,0,3,0
GTD3Q7  ,1,1,0,0,0,0,0,0,0
GTDOTC  ,2,1,0,0,0,2,0,1,0
H1C27K  ,2,1,1,0,0,0,0,1,0
H8IDTB  ,3,1,1,0,0,0,1,2,0
H8T7B8  ,1,1,0,0,0,0,0,1,1
H92845  ,2,1,0,0,1,0,0,2,0
HEH8P2  ,1,1,0,0,0,0,0,2,0
HHMDYC  ,1,1,0,0,0,0,0,0,0
HHP9H9  ,2,1,0,0,1,0,0,1,0
HHSZQ8  ,1,1,0,0,0,0,0,1,1
HKSZVW  ,1,1,0,0,0,0,0,0,0
HNNCS1  ,2,1,0,0,1,0,0,2,0
HP3D1T  ,2,1,0,0,0,0,1,1,0
HRMMDS  ,1,1,0,0,0,0,0,1,0
HRXIKS  ,2,1,1,0,0,0,0,0,0
HUEFSR  ,2,1,0,0,0,1,0,2,0
I46VGN  ,2,1,1,0,0,0,0,1,0
I668YL  ,2,1,1,0,0,0,0,1,0
I6P447  ,1,1,0,0,0,0,0,0,0
I9AJPB  ,2,1,0,0,0,1,0,0,0
IA6WA2  ,3,1,0,0,1,0,1,2,1
IHPY3R  ,2,1,1,0,0,0,0,1,0
IHVBCG  ,2,1,1,0,0,0,0,0,0
IID1BT  ,2,1,0,0,0,1,0,0,0
IJSOTM  ,2,1,1,0,0,0,0,0,0
IP9PF1  ,1,1,0,0,0,0,0,1,0
ISRKVP  ,2,1,0,0,1,0,0,2,0
ITBACY  ,3,1,0,0,0,1,1,2,1
IVA4LP  ,1,1,0,0,0,0,0,0,0
IZHXEF  ,1,1,0,0,0,0,0,1,0
J15AYX  ,1,1,0,0,0,0,0,1,0
J2K7NU  ,4,1,0,0,1,2,1,1,0
J3J6Q9  ,1,1,0,0,0,0,0,1,0
J3UCKO  ,4,1,1,1,0,0,1,1,0
J7JT74  ,2,1,0,0,0,1,0,1,0
J86GXQ  ,2,1,0,0,1,0,0,1,0
J8VWLW  ,1,1,0,0,0,0,0,0,0
JDJD3   ,2,1,0,1,0,0,0,0,0
JDQRPB  ,1,1,0,0,0,0,0,1,0
JHJGDV  ,2,1,0,0,1,0,0,1,0
JLR7FP  ,2,1,0,1,0,0,0,0,0
JLYZ35  ,4,1,1,0,0,1,1,2,0
JMTOL7  ,2,1,0,0,0,1,0,1,0
JR5M72  ,2,1,0,0,0,1,0,0,0
JRWLN   ,2,1,1,0,0,0,0,0,0
JTLQ5Y  ,1,1,0,0,0,0,0,0,0
JUC6EM  ,1,1,0,0,0,0,0,0,0
K2AA7F  ,2,1,0,1,0,0,0,0,0
K3G61F  ,2,1,0,0,0,0,1,1,0
K46D8L  ,1,1,0,0,0,0,0,0,0
K4FSF   ,1,1,0,0,0,0,0,0,0
K4V24O  ,1,1,0,0,0,0,0,1,0
K5W64F  ,1,1,0,0,0,0,0,2,0
K6QDQI  ,1,1,0,0,0,0,0,0,0
K9FMMI  ,2,1,0,0,0,1,0,0,1
KCAZOP  ,3,1,0,0,1,1,0,1,0
KCUWYJ  ,2,1,0,0,0,0,1,1,0
KD6D8   ,3,1,0,1,1,0,0,0,0
KEOTM   ,1,1,0,0,0,0,0,1,0
KF3AEB  ,2,1,0,0,0,1,0,0,0
KF57NH  ,2,1,0,1,0,0,0,0,0
KFJ5IH  ,3,1,0,1,0,1,0,2,0
KH5DTZ  ,2,1,0,1,0,0,0,1,0
KI5Q35  ,1,1,0,0,0,0,0,1,0
KMSLXK  ,2,1,0,1,0,0,0,2,0
KN2Y49  ,1,1,0,0,0,0,0,0,0
KNO43Z  ,2,1,1,0,0,0,0,0,0
KPMYL3  ,1,1,0,0,0,0,0,1,0
KTO4YZ  ,3,1,0,0,1,1,0,1,0
KUKJG   ,2,1,0,0,1,0,0,0,0
KXYQYA  ,1,1,0,0,0,0,0,1,0
KYQY7L  ,1,1,0,0,0,0,0,0,0
L15MFD  ,1,1,0,0,0,0,0,1,0
L4Y3NT  ,2,1,0,0,1,0,0,1,0
L7LB3N  ,1,1,0,0,0,0,0,0,0
L9T6NF  ,2,1,0,1,0,0,0,0,1
LBNG15  ,2,1,0,0,0,1,0,0,0
LD5IL   ,1,1,0,0,0,0,0,0,0
LEB2JG  ,1,1,0,0,0,0,0,0,0
LH1KCZ  ,1,1,0,0,0,0,0,0,0
LJW9I3  ,2,1,1,0,0,0,0,0,0
LK4RZ   ,5,1,1,1,1,0,1,2,0
LMF6XK  ,1,1,0,0,0,0,0,0,0
LOF65M  ,1,1,0,0,0,0,0,0,0
LXW7F   ,1,1,0,0,0,0,0,1,0
LZTJN3  ,3,1,0,1,1,0,0,2,0
M22X9R  ,1,1,0,0,0,0,0,1,0
M2PBF6  ,1,1,0,0,0,0,0,0,0
M5LBRT  ,1,1,0,0,0,0,0,2,0
MGGILB  ,3,1,0,0,0,1,1,1,0
MM2MQ7  ,3,1,0,1,1,0,0,1,0
MNSJZW  ,3,1,0,0,1,0,1,0,0
MPMRGH  ,2,1,0,0,0,1,0,1,0
MTINXC  ,3,1,0,0,1,0,1,0,0
MTW1JO  ,3,1,0,1,0,1,0,0,0
MUWTBS  ,1,1,0,0,0,0,0,1,0
MV879E  ,1,1,0,0,0,0,0,0,0
MVDGX3  ,1,1,0,0,0,0,0,0,0
MWNA9U  ,1,1,0,0,0,0,0,1,0
MZ3G69  ,2,1,0,0,1,0,0,0,0
N269RW  ,1,1,0,0,0,0,0,1,1
N3UBNE  ,2,1,0,1,0,0,0,2,0
N7WPKO  ,3,1,0,0,1,1,0,1,1
NFI9CB  ,1,1,0,0,0,0,0,1,0
NGKB7Y  ,1,1,0,0,0,0,0,0,0
NKM7BK  ,3,1,0,0,1,1,0,1,0
NL55J3  ,2,1,0,0,1,0,0,1,0
NP3ESL  ,1,1,0,0,0,0,0,2,0
NPZ28P  ,1,1,0,0,0,0,0,1,1
NVHI1   ,3,1,1,0,4,0,0,3,0
NXBOW1  ,1,1,0,0,0,0,0,0,0
NYFG5L  ,2,1,0,0,1,0,0,0,0
NYUE8M  ,3,1,0,0,1,1,0,0,0
NZ5XQ6  ,1,1,0,0,0,0,0,0,1
O1JQ2S  ,2,1,0,0,1,0,0,3,0
O2IVAH  ,1,1,0,0,0,0,0,0,0
O32FUZ  ,2,1,0,0,0,1,0,2,0
O5ZUAO  ,4,1,0,1,1,1,0,0,1
O9LA3H  ,1,1,0,0,0,0,0,1,0
OBQVFC  ,1,1,0,0,0,0,0,0,0
OC1V3X  ,1,1,0,0,0,0,0,2,0
OCT1VT  ,1,1,0,0,0,0,0,1,0
ODVIQP  ,2,1,0,0,0,1,0,0,0
OJJIOR  ,4,1,1,1,1,0,0,1,0
OQS2C1  ,1,1,0,0,0,0,0,0,0
OSZ8J1  ,1,1,0,0,0,0,0,0,0
OT6E66  ,2,1,0,0,1,0,0,0,0
OY5RNM  ,2,1,0,0,0,1,0,2,0
P67WX   ,2,1,1,0,0,0,0,2,0
P83J36  ,1,1,0,0,0,0,0,1,0
P95AHA  ,1,1,0,0,0,0,0,0,1
PA3LWH  ,3,1,0,0,1,1,0,0,0
PE4M4Q  ,5,1,1,1,1,0,1,2,0
PES1WI  ,2,1,0,1,0,0,0,1,0
PJNG42  ,2,1,0,0,1,0,0,1,0
PKG78T  ,2,1,0,0,0,1,0,0,0
PLA3LX  ,3,1,0,1,0,0,1,0,0
PMRQSG  ,3,1,0,0,1,0,1,1,0
PO3UNM  ,1,1,0,0,0,0,0,2,0
POMWVX  ,2,1,0,0,1,0,0,1,0
PP1ZF5  ,2,1,1,0,0,0,0,1,0
PPPCDM  ,1,1,0,0,0,0,0,0,1
PRMSUL  ,3,1,1,0,1,0,0,1,0
PRXXQ7  ,1,1,0,0,0,0,0,0,0
PS8YRI  ,2,1,0,0,1,0,0,0,2
PU53EQ  ,1,1,0,0,0,0,0,3,0
PUVIS6  ,2,1,1,0,0,0,0,1,0
PZOIGZ  ,2,1,1,0,0,0,0,1,0
Q1ODWW  ,2,1,0,1,0,0,0,1,0
Q3LYGH  ,1,1,0,0,0,0,0,1,0
Q74RAS  ,1,1,0,0,0,0,0,1,0
Q7OER9  ,2,1,0,0,0,1,0,1,0
QCYWWK  ,1,1,0,0,0,0,0,0,0
QH7QJE  ,3,1,0,1,1,0,0,0,0
QIBRMG  ,1,1,0,0,0,0,0,1,1
QIQ6X5  ,4,1,0,1,1,0,1,5,0
QKPLH1  ,2,1,0,0,0,0,1,1,0
QKS2HO  ,2,1,0,2,0,0,0,1,1
QTYQZD  ,1,1,0,0,0,0,0,0,0
QUV9O9  ,2,1,0,0,0,0,1,2,0
QV3GL9  ,2,1,0,0,1,0,0,0,1
QYBDH1  ,1,1,0,0,0,0,0,3,0
R8FMP9  ,2,1,1,0,0,0,0,2,0
RCXQOT  ,1,1,0,0,0,0,0,3,0
RDUU7   ,3,1,1,0,0,1,0,0,0
RF1H2M  ,2,1,1,0,0,0,0,1,0
RKJ66D  ,2,1,0,0,0,0,1,0,0
RREG3   ,3,1,1,0,0,1,0,1,0
RSHES1  ,2,1,0,0,0,1,0,1,0
RVDWV4  ,3,1,0,0,1,0,1,1,0
RVY399  ,1,1,0,0,0,0,0,1,0
S5DPFZ  ,2,1,0,0,1,0,0,0,0
SCC3VD  ,2,1,0,1,0,0,0,0,0
SDSAU6  ,1,1,0,0,0,0,0,0,0
SID419  ,1,1,0,0,0,0,0,2,0
SL5FC8  ,1,1,0,0,0,0,0,0,0
SMAFVP  ,2,1,0,1,0,0,0,1,1
SOQJDS  ,1,1,0,0,0,0,0,0,0
SP5ID2  ,2,1,0,0,1,0,0,2,0
SPTVEE  ,1,1,0,0,0,0,0,2,0
SSH9HR  ,1,1,0,0,0,0,0,0,0
STKHAS  ,1,1,0,0,0,0,0,0,0
SXKV    ,3,1,0,0,1,1,0,0,0
SYH2XF  ,2,1,0,1,0,0,0,1,0
T4K466  ,1,1,0,0,0,0,0,2,0
T4KCRX  ,2,1,0,0,1,0,0,0,0
T6FA5D  ,2,1,1,0,0,0,0,2,0
T9D1UO  ,1,1,0,0,0,0,0,0,0
TCJR5K  ,3,1,1,0,0,1,0,0,0
TEE7C3  ,1,1,0,0,0,0,0,2,0
TFNHY8  ,1,1,0,0,0,0,0,1,0
TFRHI   ,1,1,0,0,0,0,0,0,0
TH5JFI  ,3,1,1,0,0,0,1,1,0
THRNFX  ,1,1,0,0,0,0,0,3,0
TOV31R  ,1,1,0,0,0,0,0,1,0
TRL7RV  ,1,1,0,0,0,0,0,0,0
TRUAV7  ,2,1,0,0,1,0,0,1,2
TSQ4EM  ,2,1,0,0,0,0,1,0,0
TTB7CF  ,1,1,0,0,0,0,0,1,1
TWCPJS  ,2,1,0,1,0,0,0,0,0
TYSC3K  ,2,1,0,0,0,0,1,0,0
U1TTBU  ,2,1,0,1,0,0,0,1,0
U2CIHD  ,1,1,0,0,0,0,0,0,0
U8KVCM  ,3,1,0,1,0,0,1,1,0
UFS3BG  ,3,1,0,1,0,1,0,0,1
UJ28MO  ,1,1,0,0,0,0,0,0,0
UJURP   ,1,1,0,0,0,0,0,0,0
ULCRP   ,2,1,0,0,0,0,1,1,0
UMYFDL  ,4,1,1,0,1,1,0,2,0
UQBSUG  ,1,1,0,0,0,0,0,1,1
UQTH2   ,1,1,0,0,0,0,0,2,0
USXX5Y  ,1,1,0,0,0,0,0,0,0
UTCCET  ,3,1,0,1,0,1,0,1,0
UUB7RZ  ,2,1,0,0,0,1,0,0,0
UYGI1B  ,1,1,0,0,0,0,0,2,0
V1WO1S  ,2,1,0,1,0,0,0,1,0
V5WULC  ,2,1,0,0,1,0,0,2,0
V6AW89  ,1,1,0,0,0,0,0,2,0
VA6QYB  ,2,1,0,0,1,0,0,0,0
VAXR2H  ,3,1,0,0,1,2,0,0,0
VBA31T  ,2,1,0,0,0,1,0,0,1
VEKDOK  ,2,1,0,0,0,0,1,0,0
VKQOAP  ,2,1,0,0,1,0,0,1,0
VKUIDV  ,2,1,0,0,0,0,1,1,0
VMCZR   ,3,1,0,0,1,0,1,1,0
VSNGEZ  ,2,1,0,0,2,0,0,0,0
VWSZGA  ,3,1,1,0,0,1,0,1,0
VY2XDL  ,1,1,0,0,0,0,0,1,0
W4V7TL  ,1,1,0,0,0,0,0,0,0
W4XVN4  ,3,1,1,0,0,1,0,0,0
W6EA5L  ,1,1,0,0,0,0,0,1,0
WCV6ZC  ,3,1,0,1,1,0,0,1,0
WD9Y8   ,1,1,0,0,0,0,0,0,0
WG24UW  ,2,1,0,1,0,0,0,0,0
WGNXD3  ,2,1,0,0,1,0,0,2,0
WHSA6D  ,1,1,0,0,0,0,0,0,0
WKIMT6  ,1,1,0,0,0,0,0,0,0
WN8QT5  ,2,1,0,0,1,0,0,2,0
WS4T7D  ,1,1,0,0,0,0,0,0,0
WU8U7W  ,2,1,0,0,0,2,0,2,0
WVC6RD  ,2,1,1,0,0,0,0,2,0
WVK6OX  ,1,1,0,0,0,0,0,3,0
WXE1ZI  ,3,1,0,0,1,0,1,0,0
WXHC3A  ,2,1,0,0,0,1,0,0,1
X2XOU   ,4,1,0,0,1,1,1,2,0
X5UTS1  ,1,1,0,0,0,0,0,3,0
XCD32T  ,2,1,0,0,1,0,0,1,0
XI7KLD  ,2,1,1,0,0,0,0,0,0
XNQF2H  ,1,1,0,0,0,0,0,0,0
XPHTSX  ,1,1,0,0,0,0,0,1,0
XTH2XF  ,2,1,0,0,4,0,0,1,0
XVZQLM  ,3,1,0,0,1,0,1,1,0
XXTBPC  ,1,1,0,0,0,0,0,0,0
XYFPOT  ,3,1,0,1,0,1,0,2,0
Y1AAGW  ,2,1,0,0,0,1,0,0,0
Y6IRJR  ,4,1,0,0,1,1,1,1,0
Y7EDT8  ,1,1,0,0,0,0,0,0,0
YDU6HX  ,2,2,1,0,0,0,0,0,2
YGM7QW  ,1,1,0,0,0,0,0,0,1
YJ5R2T  ,1,1,0,0,0,0,0,1,0
YM5JK2  ,3,1,0,0,1,1,0,1,2
YOWDJI  ,2,1,0,0,0,0,1,2,1
YPPSXT  ,2,1,0,0,1,0,0,1,0
YQW1XV  ,1,1,0,0,0,0,0,1,0
YRHW82  ,2,1,0,0,0,1,0,2,1
YUJE73  ,1,1,0,0,0,0,0,1,1
Z4SKXA  ,1,1,0,0,0,0,0,0,0
Z4TTGW  ,2,1,1,0,0,0,0,0,0
Z82185  ,1,1,0,0,0,0,0,2,0
ZAMTP4  ,1,1,0,0,0,0,0,2,0
ZCAE8E  ,2,1,0,0,0,0,1,0,1
ZWA7D2  ,2,1,0,1,0,0,0,2,0
